"MainSentiment: name","EmotionalIntention: intentionType","EmotionalIntention: text","JourneyOptionFlow: id","JourneyOptionFlow: text"
"Introspectivo(a)","PROCESS","Quero um filme que me ajude a acolher e aprofundar esse sentir",84,"Ofereça identificação em histórias onde você se sinta representado(a)"
"Calmo(a)","TRANSFORM","Quero despertar os sentidos e mudar a frequência.",86,"Te tire do lugar com uma imersão total em adrenalina e ação intensa"
"Calmo(a)","TRANSFORM","Quero despertar os sentidos e mudar a frequência.",87,"Te envolva em um suspense psicológico ou um thriller de tirar o fôlego"
"Calmo(a)","TRANSFORM","Quero despertar os sentidos e mudar a frequência.",88,"Mergulhe em um drama de guerra, um grande evento histórico ou uma luta por justiça impactante"
"Calmo(a)","TRANSFORM","Quero despertar os sentidos e mudar a frequência.",89,"Te provoque com dilemas éticos e reflexões sociais intensas"
"Ansioso(a)","TRANSFORM","Quero algo que acalme o ritmo ou mude completamente o meu foco.",90,"Repleto de risadas leves e uma diversão despretensiosa"
"Ansioso(a)","TRANSFORM","Quero algo que acalme o ritmo ou mude completamente o meu foco.",91,"Um autêntico 'feel-good' que aqueça o coração e traga bem-estar"
"Ansioso(a)","TRANSFORM","Quero algo que acalme o ritmo ou mude completamente o meu foco.",92,"Uma animação acolhedora ou um mundo leve e imaginativo que acalme a mente"
"Ansioso(a)","TRANSFORM","Quero algo que acalme o ritmo ou mude completamente o meu foco.",93,"Um romance charmoso e leve, com um final doce e feliz"
"Ansioso(a)","MAINTAIN","Quero um filme que me envolva totalmente e silencie as preocupações.",98,"Envolva seus sentidos em mistérios e suspenses psicológicos"
"Ansioso(a)","MAINTAIN","Quero um filme que me envolva totalmente e silencie as preocupações.",99,"Apresente realidades complexas e ideias que desafiem a mente"
"Ansioso(a)","MAINTAIN","Quero um filme que me envolva totalmente e silencie as preocupações.",100,"Te prenda do início ao fim com tramas intensas e viscerais"
"Ansioso(a)","MAINTAIN","Quero um filme que me envolva totalmente e silencie as preocupações.",101,"Desafie sua percepção com reviravoltas surpreendentes"
"Ansioso(a)","EXPLORE","Quero explorar as raízes da inquietação e como ela molda nossas histórias.",102,"Revele as camadas mais profundas e íntimas desse sentir"
"Ansioso(a)","EXPLORE","Quero explorar as raízes da inquietação e como ela molda nossas histórias.",103,"Exponha a ansiedade como um reflexo de pressões sociais ou sistemas opressores"
"Ansioso(a)","EXPLORE","Quero explorar as raízes da inquietação e como ela molda nossas histórias.",104,"Mostre personagens em busca de superar a própria inquietação"
"Ansioso(a)","EXPLORE","Quero explorar as raízes da inquietação e como ela molda nossas histórias.",105,"Explore a tensão diante do desconhecido e de futuros incertos"
"Introspectivo(a)","PROCESS","Quero um filme que me ajude a acolher e aprofundar esse sentir",107,"Ajude a contemplar a passagem do tempo e a beleza melancólica da vida"
"Ansioso(a)","PROCESS","Busco compreender e dar nome a essa inquietude através da tela.",118,"Seja leve e divertido para desligar a mente"
"Ansioso(a)","PROCESS","Busco compreender e dar nome a essa inquietude através da tela.",119,"Te envolva com visuais tranquilos e uma história sem pressa"
"Ansioso(a)","PROCESS","Busco compreender e dar nome a essa inquietude através da tela.",120,"Ofereça um conforto aconchegante e uma sensação familiar"
"Cansado(a)","PROCESS","Quero um filme que me ajude a desanuviar e relaxar.",127,"Seja leve e divertido para desligar a mente e garantir risadas despretensiosas"
"Cansado(a)","PROCESS","Quero um filme que me ajude a desanuviar e relaxar.",128,"Proporcione um conforto na alma e uma sensação de leveza"
"Cansado(a)","PROCESS","Quero um filme que me ajude a desanuviar e relaxar.",129,"Te permita escapar completamente da realidade"
"Cansado(a)","TRANSFORM","Busco algo para recuperar o fôlego e me despertar.",134,"Te inspire com a superação de grandes desafios e a força da resiliência"
"Cansado(a)","TRANSFORM","Busco algo para recuperar o fôlego e me despertar.",135,"Desperte sua vitalidade com histórias de renovação e entusiasmo"
"Cansado(a)","TRANSFORM","Busco algo para recuperar o fôlego e me despertar.",136,"Seja uma explosão de bom humor e energia contagiante"
"Cansado(a)","TRANSFORM","Busco algo para recuperar o fôlego e me despertar.",137,"Te leve a uma jornada de autodescoberta e um novo olhar sobre a vida"
"Cansado(a)","MAINTAIN","Quero algo leve, que flua sem exigir esforço mental.",138,"Leve com  histórias inspiradoras que celebram a alegria nos pequenos momentos"
"Cansado(a)","EXPLORE","Quero refletir sobre o peso dos dias e a necessidade de pausar.",139,"Revele o impacto das pressões sociais e o peso do cansaço extremo"
"Cansado(a)","EXPLORE","Quero refletir sobre o peso dos dias e a necessidade de pausar.",140,"Reflita sobre as pressões do cotidiano e a busca por um novo ritmo"
"Cansado(a)","EXPLORE","Quero refletir sobre o peso dos dias e a necessidade de pausar.",141,"Mostre jornadas de autodescoberta e reflexão sobre o esgotamento"
"Cansado(a)","EXPLORE","Quero refletir sobre o peso dos dias e a necessidade de pausar.",142,"Explore a desilusão e a busca por sentido em meio à exaustão"
"Animado(a)","EXPLORE","Quero descobrir o que faz a vida vibrar com intensidade.",143,"Revele a paixão e a persistência por trás de grandes conquistas"
"Animado(a)","EXPLORE","Quero descobrir o que faz a vida vibrar com intensidade.",144,"Mergulhe na mente de gênios e inovadores, e sua busca por novas ideias"
"Animado(a)","EXPLORE","Quero descobrir o que faz a vida vibrar com intensidade.",145,"Explore o poder da ambição e o caminho para a excelência"
"Animado(a)","EXPLORE","Quero descobrir o que faz a vida vibrar com intensidade.",146,"Inspire a encontrar propósito e a viver com mais intensidade"
"Cansado(a)","MAINTAIN","Quero algo leve, que flua sem exigir esforço mental.",147,"Um conforto aconchegante e uma sensação familiar de estar em casa"
"Cansado(a)","MAINTAIN","Quero algo leve, que flua sem exigir esforço mental.",148,"Uma animação relaxante ou um filme com visuais tranquilos"
"Cansado(a)","MAINTAIN","Quero algo leve, que flua sem exigir esforço mental.",149,"Seja puro entretenimento, para curtir sem pensar em nada"
"Introspectivo(a)","TRANSFORM","Quero algo que ilumine esse momento e renove meu olhar.",158,"Deixar o peso de lado e resetar o dia com uma dose de humor contagiante"
"Introspectivo(a)","TRANSFORM","Quero algo que ilumine esse momento e renove meu olhar.",159,"Uma animação divertida e colorida para renovar o espírito"
"Introspectivo(a)","TRANSFORM","Quero algo que ilumine esse momento e renove meu olhar.",160,"Encontrar beleza e poesia onde antes só havia cinza"
"Introspectivo(a)","TRANSFORM","Quero algo que ilumine esse momento e renove meu olhar.",176,"Um filme que inspire e aqueça o coração com histórias de otimismo"
"Feliz / Alegre","EXPLORE","Quero descobrir as diversas formas e cores da alegria.",177,"Explore a felicidade através de uma jornada de autodescoberta e propósito"
"Feliz / Alegre","EXPLORE","Quero descobrir as diversas formas e cores da alegria.",178,"Mergulhe nas nuances e no funcionamento interno das emoções positivas"
"Feliz / Alegre","EXPLORE","Quero descobrir as diversas formas e cores da alegria.",179,"Desperte sua curiosidade por novos mundos e perspectivas"
"Animado(a)","TRANSFORM","Quero canalizar esse fôlego para algo novo e vibrante.",180,"Um suspense intrigante ou um mistério cheio de reviravoltas"
"Animado(a)","TRANSFORM","Quero canalizar esse fôlego para algo novo e vibrante.",181,"Um drama profundo e envolvente sobre a condição humana"
"Animado(a)","TRANSFORM","Quero canalizar esse fôlego para algo novo e vibrante.",182,"Um romance intenso e uma jornada emocional marcante"
"Cansado(a)","PROCESS","Quero um filme que me ajude a desanuviar e relaxar.",183,"Te envolva com visuais tranquilos e uma história sem pressa"
"Ansioso(a)","PROCESS","Busco compreender e dar nome a essa inquietude através da tela.",184,"Te ofereça uma imersão total em mundos, tempos ou realidades distantes da sua"
